name,microseconds
2_8,162.571000
8_14,148.186000
8_14_null_2,145.466000
8_14_null_10,158.430000
8_14_null_100,154.936000
2_8,152.072000
8_14,152.720000
8_14_null_2,145.710000
8_14_null_10,161.799000
8_14_null_100,157.541000
2_8,154.268000
8_14,155.180000
8_14_null_2,145.480000
8_14_null_10,164.597000
8_14_null_100,160.341000
2_8,153.375000
8_14,155.131000
8_14_null_2,145.478000
8_14_null_10,164.493000
8_14_null_100,158.840000
2_8,154.866000
8_14,155.862000
8_14_null_2,145.565000
8_14_null_10,164.353000
8_14_null_100,160.358000
2_8,155.311000
8_14,156.073000
8_14_null_2,146.451000
8_14_null_10,167.731000
8_14_null_100,160.409000
2_8,156.150000
8_14,156.102000
8_14_null_2,147.362000
8_14_null_10,167.973000
8_14_null_100,160.193000
2_8,156.119000
8_14,156.001000
8_14_null_2,148.117000
8_14_null_10,168.919000
8_14_null_100,160.243000
2_8,156.005000
8_14,156.083000
8_14_null_2,148.579000
8_14_null_10,169.214000
8_14_null_100,160.376000
2_8,156.109000
8_14,156.138000
8_14_null_2,148.925000
8_14_null_10,169.349000
8_14_null_100,160.302000
2_8,156.101000
8_14,156.099000
8_14_null_2,149.553000
8_14_null_10,169.426000
8_14_null_100,160.723000
2_8,155.807000
8_14,156.056000
8_14_null_2,147.816000
8_14_null_10,171.893000
8_14_null_100,160.321000
2_8,155.197000
8_14,156.059000
8_14_null_2,149.095000
8_14_null_10,169.493000
8_14_null_100,160.238000
2_8,155.246000
8_14,156.141000
8_14_null_2,150.120000
8_14_null_10,169.730000
8_14_null_100,160.301000
2_8,155.744000
8_14,156.059000
8_14_null_2,149.375000
8_14_null_10,169.788000
8_14_null_100,160.229000
2_8,155.760000
8_14,156.100000
8_14_null_2,150.851000
8_14_null_10,169.473000
8_14_null_100,160.342000
2_8,155.809000
8_14,156.116000
8_14_null_2,150.091000
8_14_null_10,169.578000
8_14_null_100,160.205000
2_8,155.924000
8_14,156.095000
8_14_null_2,151.853000
8_14_null_10,169.598000
8_14_null_100,160.296000
2_8,155.843000
8_14,155.989000
8_14_null_2,150.736000
8_14_null_10,169.597000
8_14_null_100,160.220000
2_8,156.081000
8_14,156.045000
8_14_null_2,151.192000
8_14_null_10,169.735000
8_14_null_100,160.223000
2_8,156.150000
8_14,156.101000
8_14_null_2,151.253000
8_14_null_10,169.361000
8_14_null_100,160.373000
2_8,156.253000
8_14,156.174000
8_14_null_2,151.200000
8_14_null_10,169.502000
8_14_null_100,160.258000
2_8,156.108000
8_14,156.041000
8_14_null_2,152.202000
8_14_null_10,169.463000
8_14_null_100,160.347000
2_8,156.319000
8_14,155.981000
8_14_null_2,151.896000
8_14_null_10,169.604000
8_14_null_100,160.176000
2_8,156.031000
8_14,156.014000
8_14_null_2,151.750000
8_14_null_10,169.596000
8_14_null_100,160.251000
2_8,156.143000
8_14,155.996000
8_14_null_2,152.278000
8_14_null_10,169.476000
8_14_null_100,160.339000
2_8,155.956000
8_14,156.102000
8_14_null_2,153.130000
8_14_null_10,169.467000
8_14_null_100,160.182000
2_8,156.165000
8_14,156.155000
8_14_null_2,153.513000
8_14_null_10,169.534000
8_14_null_100,159.723000
2_8,155.913000
8_14,156.099000
8_14_null_2,153.964000
8_14_null_10,169.645000
8_14_null_100,160.298000
2_8,155.985000
8_14,156.393000
8_14_null_2,153.416000
8_14_null_10,169.648000
8_14_null_100,160.276000
2_8,155.902000
8_14,156.014000
8_14_null_2,153.985000
8_14_null_10,170.269000
8_14_null_100,160.323000
