name, microseconds
2_8,446.202000
8_14,845.386000
8_14_null_2,495.519000
8_14_null_10,809.716000
8_14_null_100,842.157000
2_8,390.903000
8_14,846.261000
8_14_null_2,495.256000
8_14_null_10,809.511000
8_14_null_100,841.954000
2_8,391.308000
8_14,845.195000
8_14_null_2,495.292000
8_14_null_10,809.531000
8_14_null_100,841.659000
2_8,403.822000
8_14,845.250000
8_14_null_2,495.371000
8_14_null_10,809.537000
8_14_null_100,842.610000
2_8,392.715000
8_14,845.200000
8_14_null_2,495.297000
8_14_null_10,809.654000
8_14_null_100,841.942000
2_8,390.972000
8_14,845.417000
8_14_null_2,495.300000
8_14_null_10,809.550000
8_14_null_100,846.308000
2_8,390.797000
8_14,845.357000
8_14_null_2,495.363000
8_14_null_10,809.369000
8_14_null_100,848.806000
2_8,407.082000
8_14,847.436000
8_14_null_2,516.892000
8_14_null_10,811.523000
8_14_null_100,863.264000
2_8,400.182000
8_14,884.605000
8_14_null_2,510.444000
8_14_null_10,833.135000
8_14_null_100,862.426000
2_8,411.192000
8_14,863.586000
8_14_null_2,509.036000
8_14_null_10,840.568000
8_14_null_100,864.994000
2_8,394.186000
8_14,871.931000
8_14_null_2,520.110000
8_14_null_10,835.168000
8_14_null_100,874.172000
2_8,395.944000
8_14,865.549000
8_14_null_2,505.087000
8_14_null_10,811.342000
8_14_null_100,863.679000
2_8,399.635000
8_14,867.656000
8_14_null_2,519.205000
8_14_null_10,829.198000
8_14_null_100,857.784000
2_8,398.346000
8_14,849.251000
8_14_null_2,495.505000
8_14_null_10,818.444000
8_14_null_100,843.366000
2_8,393.394000
8_14,845.514000
8_14_null_2,495.760000
8_14_null_10,809.866000
8_14_null_100,841.762000
2_8,401.391000
8_14,845.801000
8_14_null_2,495.702000
8_14_null_10,810.238000
8_14_null_100,846.309000
2_8,399.929000
8_14,846.302000
8_14_null_2,500.817000
8_14_null_10,814.212000
8_14_null_100,842.025000
2_8,390.754000
8_14,846.607000
8_14_null_2,495.981000
8_14_null_10,809.811000
8_14_null_100,841.708000
2_8,394.619000
8_14,845.849000
8_14_null_2,496.304000
8_14_null_10,812.287000
8_14_null_100,842.387000
2_8,391.352000
8_14,867.191000
8_14_null_2,496.604000
8_14_null_10,809.939000
8_14_null_100,842.337000
2_8,391.615000
8_14,845.948000
8_14_null_2,495.850000
8_14_null_10,810.103000
8_14_null_100,842.332000
2_8,391.558000
8_14,846.001000
8_14_null_2,495.825000
8_14_null_10,810.296000
8_14_null_100,842.403000
2_8,391.343000
8_14,853.913000
8_14_null_2,495.324000
8_14_null_10,809.892000
8_14_null_100,842.112000
2_8,396.933000
8_14,852.414000
8_14_null_2,495.742000
8_14_null_10,810.412000
8_14_null_100,842.612000
2_8,395.886000
8_14,845.974000
8_14_null_2,496.311000
8_14_null_10,810.321000
8_14_null_100,842.393000
2_8,391.565000
8_14,846.321000
8_14_null_2,495.866000
8_14_null_10,810.099000
8_14_null_100,842.334000
2_8,391.478000
8_14,854.080000
8_14_null_2,495.530000
8_14_null_10,809.416000
8_14_null_100,842.014000
2_8,391.343000
8_14,846.003000
8_14_null_2,495.182000
8_14_null_10,809.706000
8_14_null_100,841.819000
2_8,391.047000
8_14,845.527000
8_14_null_2,495.425000
8_14_null_10,809.711000
8_14_null_100,844.184000
2_8,391.213000
8_14,845.362000
8_14_null_2,495.327000
8_14_null_10,809.631000
8_14_null_100,841.836000
2_8,391.218000
8_14,845.498000
8_14_null_2,495.419000
8_14_null_10,809.631000
8_14_null_100,841.971000
2_8,391.034000
8_14,845.381000
8_14_null_2,495.395000
8_14_null_10,809.886000
8_14_null_100,841.829000
2_8,391.082000
8_14,846.893000
8_14_null_2,495.252000
8_14_null_10,809.841000
8_14_null_100,842.117000
2_8,391.531000
8_14,846.168000
8_14_null_2,495.389000
8_14_null_10,809.540000
8_14_null_100,841.830000
2_8,391.393000
8_14,845.586000
8_14_null_2,495.972000
8_14_null_10,809.507000
8_14_null_100,842.803000
2_8,392.040000
8_14,845.456000
8_14_null_2,495.469000
8_14_null_10,809.610000
8_14_null_100,842.009000
2_8,391.971000
8_14,845.347000
8_14_null_2,495.452000
8_14_null_10,809.711000
8_14_null_100,841.939000
2_8,390.682000
8_14,845.408000
8_14_null_2,495.277000
8_14_null_10,809.621000
8_14_null_100,842.093000
2_8,395.340000
8_14,845.538000
8_14_null_2,495.365000
8_14_null_10,809.763000
8_14_null_100,841.862000
2_8,391.492000
8_14,845.485000
8_14_null_2,495.453000
8_14_null_10,809.607000
8_14_null_100,841.745000
2_8,403.515000
8_14,845.559000
8_14_null_2,495.266000
8_14_null_10,809.880000
8_14_null_100,841.925000
2_8,391.385000
8_14,845.448000
8_14_null_2,495.481000
8_14_null_10,809.807000
8_14_null_100,841.862000
2_8,391.901000
8_14,845.596000
8_14_null_2,495.393000
8_14_null_10,809.754000
8_14_null_100,841.922000
2_8,390.883000
8_14,845.763000
8_14_null_2,495.406000
8_14_null_10,810.054000
8_14_null_100,842.019000
2_8,391.136000
8_14,845.312000
8_14_null_2,495.351000
8_14_null_10,809.883000
8_14_null_100,841.896000
2_8,391.328000
8_14,845.384000
8_14_null_2,495.271000
8_14_null_10,809.826000
8_14_null_100,845.927000
2_8,391.203000
8_14,845.340000
8_14_null_2,495.675000
8_14_null_10,809.731000
8_14_null_100,841.910000
2_8,391.464000
8_14,861.229000
8_14_null_2,495.359000
8_14_null_10,809.762000
8_14_null_100,861.504000
2_8,391.329000
8_14,845.502000
8_14_null_2,495.519000
8_14_null_10,809.887000
8_14_null_100,841.897000
2_8,391.195000
8_14,845.327000
8_14_null_2,495.420000
8_14_null_10,809.576000
8_14_null_100,841.889000
2_8,392.731000
8_14,845.635000
8_14_null_2,496.516000
8_14_null_10,809.735000
8_14_null_100,842.550000
2_8,392.358000
8_14,845.443000
8_14_null_2,495.330000
8_14_null_10,809.893000
8_14_null_100,842.116000
2_8,391.620000
8_14,845.601000
8_14_null_2,495.632000
8_14_null_10,811.682000
8_14_null_100,842.425000
2_8,391.348000
8_14,845.408000
8_14_null_2,495.382000
8_14_null_10,809.800000
8_14_null_100,841.848000
2_8,391.318000
8_14,845.476000
8_14_null_2,495.507000
8_14_null_10,809.583000
8_14_null_100,841.920000
2_8,391.668000
8_14,845.341000
8_14_null_2,495.444000
8_14_null_10,809.873000
8_14_null_100,841.883000
2_8,391.966000
8_14,845.865000
8_14_null_2,495.419000
8_14_null_10,810.785000
8_14_null_100,842.229000
2_8,397.049000
8_14,845.423000
8_14_null_2,495.582000
8_14_null_10,809.925000
8_14_null_100,841.891000
2_8,391.044000
8_14,845.548000
8_14_null_2,495.362000
8_14_null_10,809.537000
8_14_null_100,870.618000
2_8,395.289000
8_14,868.686000
8_14_null_2,514.792000
8_14_null_10,826.208000
8_14_null_100,865.165000
2_8,407.446000
8_14,861.272000
8_14_null_2,511.366000
8_14_null_10,842.815000
8_14_null_100,858.005000
2_8,419.738000
8_14,876.327000
8_14_null_2,517.374000
8_14_null_10,843.098000
8_14_null_100,887.847000
2_8,410.938000
8_14,871.433000
8_14_null_2,508.788000
8_14_null_10,819.787000
8_14_null_100,842.493000
2_8,391.737000
8_14,845.415000
8_14_null_2,495.368000
8_14_null_10,809.705000
8_14_null_100,875.718000
2_8,393.047000
8_14,865.641000
8_14_null_2,501.982000
8_14_null_10,812.034000
8_14_null_100,846.855000
2_8,398.752000
8_14,849.611000
8_14_null_2,496.145000
8_14_null_10,810.828000
8_14_null_100,887.499000
2_8,404.140000
8_14,848.273000
8_14_null_2,577.057000
8_14_null_10,822.632000
8_14_null_100,909.328000
2_8,505.682000
8_14,987.505000
8_14_null_2,533.103000
8_14_null_10,813.433000
8_14_null_100,845.174000
2_8,410.932000
8_14,848.132000
8_14_null_2,496.185000
8_14_null_10,836.252000
8_14_null_100,905.077000
2_8,415.926000
8_14,845.686000
8_14_null_2,497.095000
8_14_null_10,899.108000
8_14_null_100,874.408000
2_8,399.487000
8_14,845.550000
8_14_null_2,506.444000
8_14_null_10,810.076000
8_14_null_100,841.825000
2_8,405.345000
8_14,855.507000
8_14_null_2,498.899000
8_14_null_10,815.077000
8_14_null_100,847.291000
2_8,397.843000
8_14,869.964000
8_14_null_2,501.692000
8_14_null_10,817.376000
8_14_null_100,859.978000
2_8,402.848000
8_14,847.690000
8_14_null_2,496.028000
8_14_null_10,814.694000
8_14_null_100,889.183000
2_8,405.129000
8_14,872.943000
8_14_null_2,500.230000
8_14_null_10,810.069000
8_14_null_100,844.084000
2_8,402.836000
8_14,848.607000
8_14_null_2,512.353000
8_14_null_10,809.469000
8_14_null_100,842.433000
2_8,408.876000
8_14,845.171000
8_14_null_2,495.558000
8_14_null_10,815.917000
8_14_null_100,842.146000
2_8,407.433000
8_14,847.699000
8_14_null_2,498.641000
8_14_null_10,811.118000
8_14_null_100,853.573000
2_8,404.925000
8_14,847.600000
8_14_null_2,500.264000
8_14_null_10,820.509000
8_14_null_100,877.262000
2_8,397.784000
8_14,846.793000
8_14_null_2,495.262000
8_14_null_10,810.080000
8_14_null_100,841.632000
2_8,388.657000
8_14,854.753000
8_14_null_2,497.912000
8_14_null_10,832.753000
8_14_null_100,842.547000
2_8,401.063000
8_14,854.213000
8_14_null_2,495.179000
8_14_null_10,809.654000
8_14_null_100,851.112000
2_8,409.213000
8_14,845.202000
8_14_null_2,495.187000
8_14_null_10,815.348000
8_14_null_100,851.399000
2_8,388.873000
8_14,845.039000
8_14_null_2,495.242000
8_14_null_10,820.924000
8_14_null_100,845.624000
2_8,406.894000
8_14,847.571000
8_14_null_2,495.642000
8_14_null_10,818.375000
8_14_null_100,844.104000
2_8,401.275000
8_14,846.974000
8_14_null_2,495.578000
8_14_null_10,809.239000
8_14_null_100,842.610000
2_8,388.442000
8_14,846.415000
8_14_null_2,495.574000
8_14_null_10,809.717000
8_14_null_100,842.577000
2_8,407.878000
8_14,846.037000
8_14_null_2,496.932000
8_14_null_10,810.056000
8_14_null_100,841.733000
2_8,390.627000
8_14,846.150000
8_14_null_2,495.794000
8_14_null_10,820.955000
8_14_null_100,856.082000
2_8,393.662000
8_14,862.403000
8_14_null_2,538.083000
8_14_null_10,843.567000
8_14_null_100,906.350000
2_8,390.529000
8_14,846.779000
8_14_null_2,495.574000
8_14_null_10,809.688000
8_14_null_100,841.776000
2_8,388.597000
8_14,847.292000
8_14_null_2,497.532000
8_14_null_10,810.814000
8_14_null_100,844.533000
2_8,388.919000
8_14,867.053000
8_14_null_2,495.713000
8_14_null_10,814.155000
8_14_null_100,844.481000
2_8,389.666000
8_14,846.469000
8_14_null_2,495.344000
8_14_null_10,809.615000
8_14_null_100,842.072000
2_8,388.711000
8_14,845.277000
8_14_null_2,495.371000
8_14_null_10,823.753000
8_14_null_100,841.654000
2_8,388.579000
8_14,845.195000
8_14_null_2,496.081000
8_14_null_10,817.357000
8_14_null_100,845.736000
2_8,403.323000
8_14,845.187000
8_14_null_2,495.260000
8_14_null_10,809.756000
8_14_null_100,841.525000
2_8,393.008000
8_14,845.944000
8_14_null_2,495.593000
8_14_null_10,809.492000
8_14_null_100,842.119000
2_8,388.426000
8_14,845.100000
8_14_null_2,510.081000
8_14_null_10,809.508000
8_14_null_100,841.581000
2_8,409.236000
8_14,845.181000
8_14_null_2,495.186000
8_14_null_10,809.555000
8_14_null_100,841.616000
2_8,388.835000
8_14,846.212000
8_14_null_2,507.865000
8_14_null_10,809.931000
8_14_null_100,841.694000
2_8,401.170000
8_14,849.951000
8_14_null_2,499.282000
8_14_null_10,842.866000
8_14_null_100,842.447000
