name,microseconds
2_8,183.251000
8_14,145.692000
8_14_null_2,145.339000
8_14_null_10,158.089000
8_14_null_100,149.903000
2_8,145.860000
8_14,146.082000
8_14_null_2,145.295000
8_14_null_10,158.080000
8_14_null_100,149.882000
2_8,146.306000
8_14,146.290000
8_14_null_2,145.595000
8_14_null_10,158.255000
8_14_null_100,149.831000
2_8,146.449000
8_14,145.874000
8_14_null_2,145.285000
8_14_null_10,159.578000
8_14_null_100,149.958000
2_8,146.027000
8_14,145.985000
8_14_null_2,145.417000
8_14_null_10,158.128000
8_14_null_100,149.821000
2_8,146.011000
8_14,146.054000
8_14_null_2,145.354000
8_14_null_10,158.121000
8_14_null_100,149.836000
2_8,145.971000
8_14,145.963000
8_14_null_2,145.332000
8_14_null_10,158.171000
8_14_null_100,149.888000
2_8,146.012000
8_14,146.006000
8_14_null_2,145.293000
8_14_null_10,158.082000
8_14_null_100,149.781000
2_8,146.092000
8_14,146.085000
8_14_null_2,145.325000
8_14_null_10,158.140000
8_14_null_100,149.932000
2_8,146.879000
8_14,146.301000
8_14_null_2,145.479000
8_14_null_10,158.101000
8_14_null_100,149.928000
2_8,146.386000
8_14,146.972000
8_14_null_2,145.384000
8_14_null_10,158.210000
8_14_null_100,149.871000
2_8,147.106000
8_14,147.723000
8_14_null_2,145.363000
8_14_null_10,158.104000
8_14_null_100,149.908000
2_8,147.880000
8_14,148.257000
8_14_null_2,145.295000
8_14_null_10,158.084000
8_14_null_100,150.705000
2_8,147.997000
8_14,148.681000
8_14_null_2,145.401000
8_14_null_10,158.152000
8_14_null_100,151.210000
2_8,148.490000
8_14,149.252000
8_14_null_2,145.633000
8_14_null_10,158.186000
8_14_null_100,151.719000
2_8,148.904000
8_14,149.451000
8_14_null_2,145.305000
8_14_null_10,158.095000
8_14_null_100,152.401000
2_8,149.100000
8_14,149.555000
8_14_null_2,145.299000
8_14_null_10,158.098000
8_14_null_100,152.526000
2_8,149.496000
8_14,149.982000
8_14_null_2,145.355000
8_14_null_10,158.074000
8_14_null_100,153.328000
2_8,150.314000
8_14,149.783000
8_14_null_2,145.387000
8_14_null_10,158.127000
8_14_null_100,153.257000
2_8,149.640000
8_14,150.322000
8_14_null_2,145.382000
8_14_null_10,158.080000
8_14_null_100,153.170000
2_8,150.236000
