name,microseconds
2_8,209.664000
8_14,195.354000
8_14_null_2,170.134000
8_14_null_10,202.087000
8_14_null_100,199.787000
2_8,195.437000
8_14,197.466000
8_14_null_2,169.883000
8_14_null_10,202.142000
8_14_null_100,202.415000
2_8,200.642000
8_14,201.643000
8_14_null_2,169.882000
8_14_null_10,206.933000
8_14_null_100,205.850000
2_8,201.067000
8_14,201.948000
8_14_null_2,169.939000
8_14_null_10,206.679000
8_14_null_100,205.265000
2_8,201.777000
8_14,203.361000
8_14_null_2,170.149000
8_14_null_10,209.095000
8_14_null_100,205.928000
2_8,204.858000
8_14,205.334000
8_14_null_2,169.904000
8_14_null_10,210.772000
8_14_null_100,208.805000
2_8,204.221000
8_14,205.004000
8_14_null_2,169.898000
8_14_null_10,210.374000
8_14_null_100,209.088000
2_8,206.748000
8_14,206.934000
8_14_null_2,170.484000
8_14_null_10,212.413000
8_14_null_100,210.915000
2_8,206.246000
8_14,206.820000
8_14_null_2,169.964000
8_14_null_10,212.366000
8_14_null_100,210.886000
2_8,207.188000
8_14,207.035000
8_14_null_2,169.904000
8_14_null_10,212.656000
8_14_null_100,211.446000
2_8,208.098000
8_14,208.068000
8_14_null_2,170.161000
8_14_null_10,213.313000
8_14_null_100,211.502000
2_8,207.815000
8_14,208.386000
8_14_null_2,172.747000
8_14_null_10,215.003000
8_14_null_100,209.800000
2_8,206.966000
8_14,208.292000
8_14_null_2,171.928000
8_14_null_10,213.977000
8_14_null_100,211.469000
2_8,208.477000
8_14,207.165000
8_14_null_2,174.845000
8_14_null_10,216.811000
8_14_null_100,211.491000
2_8,207.103000
8_14,208.460000
8_14_null_2,173.765000
8_14_null_10,215.931000
8_14_null_100,211.766000
2_8,208.976000
8_14,208.393000
8_14_null_2,174.864000
8_14_null_10,216.626000
8_14_null_100,211.286000
2_8,208.144000
8_14,208.468000
8_14_null_2,173.443000
8_14_null_10,216.170000
8_14_null_100,211.528000
2_8,208.189000
8_14,208.469000
8_14_null_2,175.344000
8_14_null_10,216.900000
8_14_null_100,211.338000
2_8,208.238000
8_14,208.532000
8_14_null_2,174.243000
8_14_null_10,216.700000
8_14_null_100,211.287000
2_8,208.458000
8_14,208.655000
8_14_null_2,174.129000
8_14_null_10,216.932000
8_14_null_100,211.518000
2_8,208.539000
8_14,208.498000
8_14_null_2,174.490000
8_14_null_10,216.419000
8_14_null_100,211.663000
2_8,208.216000
8_14,208.390000
8_14_null_2,176.375000
8_14_null_10,216.747000
8_14_null_100,211.592000
2_8,208.261000
8_14,208.456000
8_14_null_2,175.247000
8_14_null_10,216.822000
8_14_null_100,211.615000
2_8,208.307000
8_14,208.478000
8_14_null_2,176.932000
8_14_null_10,216.716000
